Title,KSCdirect Part #,Price,UPC
3/4 BLK MI 150# 90 ELL,90 BLK 3/4,$3.34,69029134632
1 X 3/4 BLK MI 125# HEX BUSHING,BUSH BLK 1X3/4,$4.73,69029134744
3/4 X CL SCH40 BLK PIPE NIPPLE,NIP BLK 3/4XCL,$2.38,64444400141
1 BLK MI 150# 90 ELL,90 BLK 1,$5.81,69029134633
1/2 BLK MI 150# 90 ELL,90 BLK 1/2,$2.77,69029134631
1/2 BLK MI 150# TEE,TEE BLK 1/2,$3.71,69029134566
2 X CL SCH40 BLK PIPE NIPPLE,NIP BLK 2XCL,$7.33,64444400278
1 X CL SCH40 BLK PIPE NIPPLE,NIP BLK 1XCL,$3.42,64444400176
2 CELL CORE PIPE 10' LENGTH 51830   (1670),PIPE CELL 2X10,$0.94,098248518302
1/2 X CL SCH40 BLK PIPE NIPPLE,NIP BLK 1/2XCL,$2.04,64444400106
3/4 X 1/2 BLK STEEL HEX BUSHING,BUSH BLK 3/4X1/2,$2.10,69029134741
1-1/2 PVC-DWV 90 ELL P300-015,90 PVCD 1-1/2,$2.85,054211170991
1-1/2 CELL CORE PIPE 10' 51820,PIPE CELL 1-1/2X10,$0.71,098248518203
1/2 STEEL STD MERCHANT SQ HEAD PLUG,PLUG BLK 1/2,$0.80,69029135342
3/4 X 1/2 150# TYPE 304 SS BUSHING,BUSH 304 3/4X1/2,$3.08,671404095512
3/4 X CL SCH40 TYPE 304 SS NIPPLE,NIP 304 3/4XCL,$2.03,671404027117
2 PVC SCH 40 PLASTIC PIPE/ 47645     Belled End,PIPE PVC40 2,$1.28,098248476459
3/4 BLK MI 150# TEE,TEE BLK 3/4,$5.32,69029134567
1/2 X CL SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/2XCL,$1.51,671404026707
2 BLK MI 150# 90 ELL,90 BLK 2,$21.71,69029134636
1/4 X CL SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/4XCL,$0.97,671404026349
2 PVC-40 COUP S X S,SPE 429-020,$1.88,054211164457
1/2 150# TYPE 304SS CAST STOCK COUP,COUP 304 1/2,$3.51,671404094799
3/4 STEEL STD MERCHANT SQ HEAD PLUG,PLUG BLK 3/4,$1.13,69029135343
2 PVC-DWV 90 ELL P300-020,90 PVCD 2,$4.20,054211176009
1-5/8 12 GA GALV CHANNEL ELONGATED HOLES,GRI PS200EH-10-GAL,$5.79,69029123771
3/4 BLK STD MERCHANT COUP,COUP BLK 3/4,$5.13,69029134270
1/2 BLK STD MERCHANT COUP STRAIGHT TAPPED,COUP BLK 1/2,$4.01,69029134269
2-1/2X5/8 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,STB HBJS209,$3.16,
3/4 BLK MI 150# GJ UNION G463-LF,UNION BLK 3/4,$14.87,69029182382
1 X CL SCH40 TYPE 304 SS NIPPLE,NIP 304 1XCL,$2.67,671404027292
3 CELL CORE PIPE 10' LENGTH 51840    (750),PIPE CELL 3X10,$1.78,098248518401
1 BLK STD MERCHANT COUP FIG 336,COUP BLK 1,$7.16,69029134271
3/4 PVC-40 90 ELL S X S,SPE 406-007,$0.59,054211140642
1 X 3/4 150# TYPE 304 SS BUSHING,BUSH 304 1X3/4,$4.25,671404095567
2 PVC-80 90 ELL S X S,SPE 806-020,$6.79,054211193105
1 BLK MI 150# GJ UNION G463-LF,UNION BLK 1,$19.38,69029182384
2 BLK STD MERCHANT COUP,COUP BLK 2,$16.59,69029134274
1/2 X 1/4 BLK STEEL HEX BUSHING,BUSH BLK 1/2X1/4,$1.35,69029134737
2 PVC-40 90 ELL S X S,SPE 406-020,$3.14,054211140901
3/8 X 50 FT COIL COPPER REFRIGERATION TUBE    D 06050,REF COIL 3/8X50,$104.11,685768236474
3/4 PVC SCH 40 PLASTIC PIPE 42030,PIPE PVC40 3/4,$0.40,098248420308
1-1/2 PVC-DWV FEM ADPT P101-015,FIP PVCD 1-1/2,$2.53,054211172131
1/2 X 1/4 150# TYPE 304 SS BUSHING,BUSH 304 1/2X1/4,$2.11,671404095468
2 PVC SCH 80 PLASTIC PIPE - GRAY 43095     Plain End,PIPE PVC80 GRAY 2,$2.93,098248430956
Sch40 Male Adapter MPT x Slip,LAS 436020,$1.17,025528711672
1/2 BLK MI 150# CAP,CAP BLK 1/2,$2.79,69029153566
2 BLK MI 150# GJ UNION G463-LF,UNION BLK 2,$40.29,69029182535
1/4 X CL SCH40 BLK PIPE NIPPLE,NIP BLK 1/4XCL,$2.38,64444400036
1/2 X 2 SCH40 BLK PIPE NIPPLE,NIP BLK 1/2X2,$2.04,64444400108
2 X CL SCH40 TYPE 304 SS NIPPLE,NIP 304 2XCL,$6.82,671404028046
2 PVC SCH 80 COUP S X S,SPE 829-020,$8.46,054211168516
2 PVC-DWV 45 ELL P321-020,45 PVCD 2,$4.01,054211171165
1/2 150# TYPE 304 SS 90 ELL,90 304 1/2,$3.09,671404094119
1-1/2 BLK MI 150# 90 ELL,90 BLK 1-1/2,$12.59,69029134635
13/16X3/8 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,STB HBJS201,$1.24,
1/2 BLK MI 150# 90 ST ELL,90ST BLK 1/2,$5.73,69029134703
1 BLK CI 125# SQ HEAD PLUG FIG 387,PLUG BLK 1,$2.58,69029135344
3/4 BLK MI 150# 90 ST ELL,90ST BLK 3/4,$5.73,69029134704
1-1/2 X CL SCH40 BLK PIPE NIPPLE,NIP BLK 1-1/2XCL,$5.38,64444400244
3/4 150# TYPE 304SS CAST STOCK COUP,COUP 304 3/4,$5.06,671404094805
1/4 150# TYPE 304SS CAST STOCK COUP,COUP 304 1/4,$2.14,671404094775
2 X 1-1/2 BLK MI 125# HEX BUSHING,BUSH BLK 2X1-1/2,$9.86,69029134756
2 BLK CI 125# SQ HEAD PLUG,PLUG BLK 2,$6.82,69029135347
2 PVC-DWV COUP P100-020,COUP PVCD 2,$1.71,054211170557
1 BLK MI 150# TEE,TEE BLK 1,$9.10,69029134568
1/2 BLK MI 150# GJ UNION G463-LF,UNION BLK 1/2,$12.93,69029160721
3/4 X 2 SCH40 BLK PIPE NIPPLE,NIP BLK 3/4X2,$2.53,64444400143
1 BLK MI 150# 90 ST ELL,90ST BLK 1,$8.11,69029134705
1/4 BLK STD MERCHANT COUP,COUP BLK 1/4,$3.14,69029134266
1-1/4X1/2 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,STB HBJS204,$1.91,
1/2 X 3/8 BLK STEEL HEX BUSHING,BUSH BLK 1/2X3/8,$1.35,69029134738
2 PVC SCH 80 MALE ADPT,SPE 836-020,$18.68,054211168035
1-1/2 PVC-DWV COUP P100-015,COUP PVCD 1-1/2,$1.27,054211170533
